track_id,searched_artist,searched_title,lyrics,majority_genre,minority_genre,artist,song
TRAAAAK128F9318786,Adelitas Way,Scream,"Light the gasoline
I've got the rememdy
To burn your memories
I don't know if it can
Never be afraid
To live with the lies and pain

You're never going to be the same

I don't know if you can

I want to take it too far

Come on don't be shy

I want to make you go down down



(Chorus)

I can make you scream

How I live my life when I have no choice

I see it in your eyes you're crazy

Just scream

How it feels inside

Let me hear your voice

And make it loud this time it opens up my mind



Tell me what you see

I'm not your enemy

If that's what you want to be

I don't know if I can

When you scream my name

And I take all the blame

It's never going to be the same

I don't know if you care

I want to take it too far come on don't be shy

I want to make you go down down



(Chorus)



When you scream

Maybe you're in denial

t kills me I can see it it's on your face

I can't see

Now we're breaking the silence

When you scream

Let it go and you take it away



(Chorus)



Maybe you're in denial

I can make you scream

I can see it it's on your face

When you scream

Now we're breaking the silence

I can make you scream

Let it go and ou take it away



(Thanks to Hollee for these lyrics)",Rock,,Adelitas Way,Scream
TRAAAAW128F429D538,Casual,I Didn't Mean To,"[Verse One:]
Alright I might
Have had a little glare when I stared at ya ho
But I didn't know she was like that
She stared right back

My niggas warnin me that she was comin on to me

I react like a mack do I act cool

Just to test her cause I ain't no jester

I suggest her and her friend be outtie

Cause I don't want to make my pals get rowdy

And doubt me our friendship

But when lips touch

I go crazy in the clutch

Sorta like schitzo I forgets my bros and pals over gals

I didn't mean to but when you fiend you do

Strange things for the denim no matter who's in em

Grab a flooze then I'm in traffic

Don't laugh it might be your girl that I'm talkin about

I didn't mean to



[Chorus: x2]



It ain't my fault that your girl got caught

It ain't my fault that your girl got caught (I didn't mean to)



[Verse Two:]



Another incident when I went

Way beyond what I should of done

John should of stopped before them drawers dropped

But I didn't ain't no quittin

Really didn't care who's girl I was hittin

I admit skinz ain't a reason to lose friends

But then again I didn't know, sorry

Accept apologies and live on

Are we goin hold grudges well oh fudge

Its a new year and I do fear

Ya actions ya actin shy

I mean ya need to be smackin

That hoe

Instead of tryin to front on me ya know

Thats exactly how I'm goin to be ya know

I run my game on any G ya know

Cause we the most entertainin

I meant to blame women

For makin me do what the Ak seem to

When you call I screen you

I didn't mean to



[Chorus]





[Verse Three:]



Why do fools be schememin dreamin

Actin like demons

Niggas don't give a fuck

Because they beat shit

To many girls front cute

When they want loot

They tell lies the swell guys

Can peep it and thats weak shit

Thats why I run game on every freak I get

Born in Oakland grew up pumpin Too Short

I know the rules on the flooze so who's short

I once had a ho who smoked blunts yo

She tried to get me so I looked at the front door

And now shes not with me so forget it

But every once in a while I'll hit it

And it happened to be your girl

I didn't mean to and I been through

Your relationship and I hate dumb dips

But I really can't trip when they ride my tip

I didn't mean to



[Chorus]",Rap,,Casual,I Didn't Mean To
TRAAADZ128F9348C2E,La Sonora Santanera,Amor de Cabaret,"Siento una pena muy honda dentro del alma
y quiero ahogarla con vino y caricias de amor
mi vida no tiene remedio perdido ya estoy
en este medio maldito de amargura y dolor.
Amor de cabaret que no es sincero

amor de cabaret que se paga con dinero

amor de cabaret que poco a poco me mata

sin embargo yo quiero amor de cabaret.



Amor de cabaret que no es sincero

amor de cabaret que se paga con dinero

amor de cabaret que poco a poco me mata

sin embargo yo quiero amor de cabaret.",Latin,,Sonora Santanera,Amor De Cabaret
TRAAAED128E0783FAB,Jamie Cullum,It's About Time,"Walking down to the water's edge
Where I have been before
If I don't gind my love sometime
I'm walking out that door
Some may come and some may go
But no-one seems to be

The person I've been searching for

The one whose meant for me

Biding my time, trying to find a heart that's lonely

Looking for her, my love my one and only

Maybe I'll dream, tonight about the girl who'll be coming my way

So I'll take this chance and celebrate the day

When I'm making my way through an open door

I've got some love and so much more

And I?m ready to make someone mine

Making my way through an open door

I've got some love and so much more

And I'll find her, 'cos it's about time

You try too hard and it feels just like

You're running on thin air

Why does luck happen by suprise

If you don't really care

The past is gone the flames are out

From fires that have burned

New ideals and different thoughts

From lessons I have learned

Biding my time, trying to find a heart that's lonely

Looking for her, my love my one and only

Maybe I'll dream, tonight about the girl who'll be coming my way

So I'll take this chance and celebrate the day

When I'm making my way through an open door

I've got some love and so much more

And I?m ready to make someone mine

Making my way through an open door

I've got some love and so much more

And I'll find her, 'cos it's about time

Got the feeling this could take a pretty long while

To find that smile

Put my faith in another piece of good advice

Well I tried that twice

Waiting for, a little something more

To inspire, take me higher 

And I?m ready to make someone mine

Making my way through an open door

I've got some love and so much more

And I'll find her, 'cos it's about time

It's about time",Jazz,,Jamie Cullum,It's About Time
TRAAAEF128F4273421,Adam Ant,Something Girls,Every girl is a something girl,Rock,,Adam Ant,Something Girls
TRAAAFD128F92F423A,Gob,Face the Ashes,"I've just erased it's been a while, I've got a world for sale
And now I walk away from it, it's better done secret
I never mouthed those words away, I wouldn't cause concern
Die in a crossfire runaway none of this exists
Someone is killing me

Turn him away, lay over there

His limb is red, I have all clear

Settle the wave I'm on my way

Dreaming of red, memories are worst



I feel abrasive worn and tired, don't think I could win

Take me to a place I adore and then seal me in

I'm not the one I swear I'm not, no matter how I felt

Die in a crossfire runaway, face the ash again

Someone is killing me",Punk,Rock,Gob,Face the Ashes
TRAAAGR128F425B14B,Cyndi Lauper,Into the Nightlife,"Got this endless itch to ride
Into the night
Fortune cookie says i'm right
Kung Foo like
Shake your body Mister

Gonna make ya body blister, say hey, hey, hey

Don't wanna have ta make ya

I don't wanna have ta shake ya down, hey, hey, hey



I'll take ya till ya all spun up

Pitter, patter doesn't matter what you got

I'll take ya till ya all spun up

And in love

And into the night life

I'll take ya till ya all spun up

And in love

And into the night life



Want to dress for you tonight

Under the light

Shot up like a satellite

Into the night

Shake ya money maker

I will never ba a faker now, hey hey hey

Leave 'em standing waitin'

Till they're practically faintin' now, hey hey hey



I'll take ya till ya all spun up...



Shirtless wonders wreck my sight

Under the light......",Pop,,Cyndi Lauper,Into The Nightlife
TRAAAJN128F428E437,Frankie Goes to Hollywood,The Power Of Love,"I'll protect you from the hooded claw
Keep the vampires from your door 
Feels like fire
I'm so in love with you
Dreams are like angels

They keep bad at bay-bad at bay

Love is the light

Scaring darkness away-yeah 



I'm so in love with you

Purge the soul

Make love your goal 



The power of love

A force from above

Cleaning my soul

Flame on burn desire

Love with tongues of fire

Purge the soul

Make love your goal 



I'll protect you from the hooded claw

Keep the vampires from your door

When the chips are down I'll be around

With my undying, death-defying

Love for you 



Envy will hurt itself

Let yourself be beautiful

Sparkling love, flowers

And pearls and pretty girls

Love is like an energy

Rushin' rushin' inside of me 



The power of love

A force from above

Cleaning my soul

Flame on burn desire

Love with tongues of fire

Purge the soul

Make love your goal 



This time we go sublime

Lovers entwine-divine divine

Love is danger, love is pleasure

Love is pure-the only treasure 



I'm so in love with you

Burns the soul

Make love your goal 



The power of love

A force from above

Cleaning my soul

The power of love

A force from above

A sky-scraping dove 



Flame on burn desire

Love with tongues of fire

Purge the soul

Make love your goal 



I'll protect you from the hooded claw

Keep the vampires from your door",Pop,Rock,Frankie Goes To Hollywood,Welcome to the Pleasuredome
TRAAAJO12903CAAC69,Tony Bennett,Stranger in Paradise,"Take my hand
I'm a stranger in paradise
All lost in a wonderland
A stranger in paradise
If I stand starry-eyed
That's the danger in paradise

For mortals who stand beside an angel like you



I saw your face and I ascended

Out of the commonplace into the rare

Somewhere in space I hang suspended

Until I know there's a chance that you care



Won't you answer this fervent prayer

Of a stranger in paradise?

Don't send me in dark despair

From all that I hunger for



But open your angel's arms

To this stranger in paradise

And tell him that he need be

A stranger no more",Jazz,,Tony Bennett,Stranger In Paradise
TRAAAZF12903CCCF6B,Matthew Wilder,Break My Stride,"Last night I had the strangest dream
I sailed away to China
In a little rowboat to find you
And you said you had to get your laundry cleaned
Didn't want no one to hold you
What does that mean?

And you said



Ain't nothing gonna break my stride

Nobody gonna slow me down

Oh no

I got to keep on moving

Ain't nothing gonna break-a my stride

I'm running

And I won't touch ground

Oh no

I got to keep on moving



You're on a roll and now you pray it'll last

The road beyond was rocky

But now you're feeling cocky

You look at me and you see your past

Is that the reason

Why you're running so fast?

And she said



Ain't nothing gonna break-a my stride

Nobody gonna slow me down

Oh no

I got to keep on moving

Ain't nothing gonna break my stride

I'm running

And I won't touch ground

Oh no

I got to keep on moving



(Never let another girl like you)

Work me over

(Never let another girl like you)

Drag me under

(If I meet another girl like you)

I will tell her

(Never want another girl like you)

Have to say

Oh



Ain't nothing gonna break-a my stride

Nobody gonna slow me down

Oh no, oh no

I got to keep on moving

Ain't nothing gonna break my stride

I'm running

And I won't touch ground

Oh no

I got to keep on moving



Ain't nothing gonna break-a my stride

Nobody gonna slow me down

Oh no, oh no

I got to keep on moving

Ain't nothing gonna break-a my stride

I'm running

And I won't touch ground

Oh no

I got to keep on moving



(Whoaaaaa)

Ain't nothing gonna break my stride

Nobody gonna slow me down

Oh no

I got to keep on moving

Ain't nothing gonna break-a my stride

I'm running

And I won't touch ground

Oh no

I got to keep on moving",Pop,Rock,Matthew Wilder,Break My Stride
