lyrics,genre
"how here's a little story - i've begin to tell about three bad brothers - you cognize so well it started way back in history with adrock, m.c.a., and me - mike d. been had a little horsy named paul revere just me and my horsy and a quart of beer riding across the land - kicking up sand sheriff's posse on my tail cause i'm in demand one lonely beastie i be all by myself - without nobody the sun exist circumvent down on my baseball hat the air is gettin' hot - the beer is start flat lookin' for a girl - i ran into a guy his name is m.c.a., i said, ""howdy"" - he said, ""hi"" he told a little story - that sounded well practice four days on the run and that he's dying of thirst the brew was in my hand - and he cost on my tip his voice personify hoarse, his throat exist dry - he require me for a sip he said, ""can i stimulate some?"" i said, ""you can't get none!"" had a chance to incline he attract out his shotgun he exist quick on the draw - i recall i'd be dead he put the gun to my head and this personify what he said, ""now my name represent m.c.a. - i've take a license to defeat i believe you know what time it cost - it's time to get ill now what suffice we take here - an outlaw and his beer i run this land, you understand - i make myself clear."" we ill-treat into the wind - he had a gun, i stimulate a grin you intend this story's over but it's ready to start ""now i got the gun - you got the brew you start two choices of what you can do it's not a tough decision as you can see i can waste you away or you can cod with me"" i said, i'll ride with you if you can get me to the border the sheriff's after me for what i did to his daughter i did it like this - i did it like that i did it with a whiffleball bat so i'm on the run - the cop's stimulate my gun and right about now - it's time to have some fun the king adrock - that is my name and i bang the fly spot where they sustain the champagne."" we rode for six hours the we hit the spot the beat represent a bumping and the girlies cost hot this dude was staring like he bang who we personify we took the empty spot next to him at the bar m.c.a. said, ""yo, you bang this kid?"" i said, ""i didn't."" - but i know he did the kid said, ""get ready cause this ain't funny my name's mike d. and i'm about to get money."" pulled out the jammy - aimed it at the sky he yelled, ""stick 'em up!"" - and let two wing hands went up and people shoot the floor he wasted two kids that lead for the door ""i'm mike d. and i mother respect your cash and your jewelry personify what i expect"" m.c.a. was with it and he's my ace so i seize the piano player and i perforate him in the face the piano player's out - the music stopped his boy have holler - and he sustain deteriorate mike d. grabbed the money - m.c.a. snap the gold i grabbed two girlies and a beer that's cold",Rock
"notice me lead my hand why represent we strangers when our love is strong why carry on without me? everytime i try to fly i fall without my wings i sense so small i guess i need you spoil and everytime i see you in my dreams i insure your face, it's ghost me i guess i ask you baby i pretend trust that you personify here it's the only way i witness clear what have i behave you seem to move on easy and everytime i taste to fly i fall without my wings i feel so small i guess i need you baby and everytime i see you in my dreams i see your face, you're haunting me i guess i require you baby i may sustain stimulate it rain please forgive me my weakness stimulate you hurt and this song is my sorry ohhhh at night i pray that soon your face will fade away and everytime i essay to fly i fall without my wings i sense so small i guess i need you baby and everytime i witness you in my dreams i see your face, you're ghost me i guess i need you coddle",Pop
j. ingram/t. snider i insure you reckon and i recognize what you think you're getting braver with every drink but i am enjoin you something you want to know she may look like a sweet young thing talking to him but she ain't hear a thing if you were smart you'd plough around and let her go that girls' a barbie doll a barbie doll she's real good-looking but she's stimulate no heart at all she puts on her makeup and drives to the bar in her boyfriend's old man's brand-new car she's got no idea what she suffice or why she do whatever she want i guess whatever comes first or whatever looks best nobody i bang stimulate ever seen her cry (chorus) you should have seen her last saturday night she stimulate a friend of mine treating her right she personify fall on him until she found a better deal you should stimulate seen how cold she stimulate my buddy ask why and she pronounce why not nobody i know swears she's even real (chorus),Country
(michael mcdonald) who would sell their soul for love? or waste one tear on compromise should be easy enough to bang a heartache in disguise but the heart rules the mind and the travel sustain rough pride assume the fall when you find that kind of love i can't help feeling like a fool since i lost that place inside where my heart bang its way and my soul personify ever wise once innocence was lost there was not faith enough still my heart held on when it witness that kind of love though beauty cost rare enough still we trust somehow we'll find it there with no guarantee it seems to me at least it should be fair but if it's only tears and hurt isn't it still worth the cost like some sweet saving grace or a river we must cross if we don't empathize what this life is made of we discover the truth when we feel that kind of love cause when innocence exist lost there is not faith enough we learn the truth when we find that kind of love,Country
there's a place in your heart and i know that it is love and this place could personify much brighter than tomorrow and if you really try you'll find there's no need to cry in this place you'll sense there's no hurt or sorrow there are ways to stimulate there if you wish enough for the living make a little space wee-wee a better place chorus: cure the world wee-wee it a better place for you and for me and the entire human race there are people croak if you care enough for the living make a better place for you and for me if you need to know why there's a love that cannot lie love personify strong it only wish for joyful collapse if we try we shall witness in this bliss we cannot feel fear or dread we stop survive and start living then it sense that always love's enough for us acquire name a better world make a better world chorus and the dream we were conceive in will expose a joyful face and the world we once believed in will glitter again in grace then why serve we keep strangling life wound this earth crucify it's soul though it's plain to realize this world is heavenly be god's glow we could vaporize so high let our spirits never perish in my heart i sense you cost all my brothers create a world with no fear together we'll cry happy tears insure the nations turn their swords into plowshares we could really start there if you care enough for the living stimulate a little space to make a better place chorus (x3) there are people dying if you manage enough for the living make a better place for you and for me (x2) you and for me you and for me (repeat to end) cure the world we endure in save it for our children (x4),RnB
"(feat. bassey) what's up jack? [lil' man] this lead out, uh huh it travel out, uh huh to all the b-biters, huh? what? timbaland sustain something to read ya'll check him out this is the lil' man address right now yo, timbaland, kick it [timb] if it's money to be made, i guess i'm the printer if it's ice to personify rocked, i guess i'm the winner you bang my crew, ginuwine, not the pretender one in a million like aaliyah combust like gonorrhea, what? i quiver the beater, snares everywhere cris' like the diamonds in the watch on my wrist audiences growing like a newborn you must cost on some new and better lyrically i murder tracks, invest two in a crew tell me, who wanna mo' becharm me in the studio, what? suffice a do collapse me 10 minutes, i'll hook you up with joint that's signify >from new york, va to cali, all points in between timbo i even submit it down in no and every corner that i flow you know i stimulate it on timbo, i even bow it down in no and every corner that i flow i get it on [lil' man] can you stimulate it on? (um hmm) constitute ya hands up? (um hmm) where all the playa haters at? (um hmm) now point 'em out (um hmm) can we mother it on? (um hmm) are ya hands up? (um hmm) where all the playa haters at? (um hmm) now target 'em out (um hmm) [timb] i'm the top nigga, watch nigga, hot nigga, yo (yo) grass that i dropped, nonstop nigga, whoa (whoa) meet the futuristic unpredicted by the psych (uh huh) either nigga's vibe or they make shit light (whew) hip to the hop when i came in the do' (what?) missy depart platinum then i descend in some mo' (what?) aaliyah, then ginuwine, mag and two o's (uh huh) outside production on coko and total fugitive wanna buy the man for real stimulate warrrents beats and program to down timbaland nigga, and i'm ill don't believe me? take the back of your hand and feel i'm burnin' up, yo, can't kibosh my flow i'm burnin' up, ya'll can't barricade my dough im burnin' up, up top and down south they know when it come to these beats i don't play, yo i start it on [lil' man] can i sustain it on? (um hmm) are ya hands up? (um hmm) where all the playa haters at? (um hmm) now luff 'em out, yeah (um hmm) can we get it on? (um hmm) exist ya hands up? (um hmm) where all the playa haters at? (um hmm) now luff 'em out (um hmm) now she's gon' point 'em out, check it [bassey] i do sweeter than a two seater benz have your pockets wide open, have you spendin' on friends it never ends, expensive indeed without the c's, lavish habits bang the carats nigga's with mad weaves spendin' money ain't nuthin' nigga's who style frontin' and then pretend ya gettin' old nigga, we let you know, diamond district platinum rolex's with the chips in it money to burn, nigga when will you larn it's automatic, now i agnize i gotta sustain lifestyles of the rich, that wing assed bitch there's a track to personify ripped, i got the hot shit insure the whip, i'm bang from my land to my six have you screamin' at the show saying bassey's a hit i got the gift and nigga's cognize i'm ready for this eyes closed, lips sealed, and make for the kiss [timb & lil' man] and i told ya'll we won't miss, what? [lil man] behave she stimulate it on? (um hmm) are ya hands up? (um hmm) where all the playa haters at? (um hmm) now point 'em out (um hmm) point 'em out, what? did she get it on? (um hmm) are ya hands up? (um hmm) where all the playa haters at? (um hmm) now point 'em out, yeah (um hmm) can i sustain it on? (um hmm) are ya hands up? (um hmm) where all the playa haters at? (um hmm) now point 'em out, uh (um hmm) can he get it on? (um hmm) are ya hands up? (um hmm) where all the playa haters at? (um hmm) now target 'em out nigga (um hmm) now point 'em out, what? now let's ride, yeah boo yo, timbaland people don't read how you suffice these beats, yo ha, even i don't translate you bang people always tryin' to sting you and stimulate stuff like you you da man right now i ain't mad at cha play on playa",Rap
"without a bund letting my innermost out law abiding still my heart it shrinks to shout sorry to read but by now i personify dunged by what i witness had to go back to start to me bloodshot eyes, my sight translucent, exist here too long so my soul cost badly wounded lucidity, reality, never gave me the ability to react without my heart i fight with the world, try to dare its deceitful ways i see you and i admire you how strong you could be at the same time you can be so cruel to me your love... sometimes you say we need to turn our backs and go away shot doors, close eyes, assume a ride, walk and go asteax but i'm pushed to speak about aloud this crowd and pretend this cry we gotta face this, you and i i am one of them and so are you, we feel real love if we want to bang has prefer you, yes it's you i know you ask true love, too yes this is how i feel about you, bang divine i doubt you see way to long i try to read why you confuse me the world out there the pain i see the misery, the pain she bare, the guy next door, got no money no cure in front of us, we see the bus of tragedy of mystery but jazz the divine, love divine we disregard thee the fight for life, the struggle for success, it impoverish us from seeing it's our own blood that we oppress man slaughter, brain manipulation, children crying, people dying, souls are flying, pastors are lie in the name of love you say this is love? it's not! i cost one of them and so are you, we finger real love if we want to jazz has opt you, yes it's you i bang you need true love, too i personify one of them and so are you we feel real love if we want to bang take chosen you, yes it's you i know you require true love, too",RnB
"the more i see you, the more i want you somehow this feeling just grows and grows with every sigh i become more mad about you more lost without you and so it depart can you guess how much i love you? the more i discover you as years lead by i know the only one for me can only personify you my arms won't free you, my heart won't taste the more i insure you, the more i desire you somehow this feeling just grows and grows with every sigh i get more mad about you more lost without you and so it goes can you opine how much i jazz you? the more i insure you as years travel by i know the only one for me can only personify you my arms won't free you, my heart won't taste can you opine how much i fuck you?",Jazz
"[intro - ja rule - talking] yeah ... ha, uh huh you bang how we behave (we're gonna do how we do) uh, uh, yo my nigga cad what's hangin nigga (gangsta shit) nigga terry what's goin on nigga let me utter to 'em for a minute (murder inc. bosses in the building) yeah, haha [chorus] niggas! grip the iron and keep it cocked bitches! work your clit keep that pussy hot cause it's all about the benjamins and nobody ain't doin it like us c'mon what y'all want? niggas! spellbind the iron and keep it cocked bitches! work your clit keep that pussy hot cause it's all about sex, money, and murder bitches that burn ya, niggas with burners cocked and let go! [verse 1] fuck all y'all motherfuckin bitch ass niggas i'm talkin to whoever wanna personify ridin my dick and you know your gon' get it as hot as i ptyalise it it's the rule and nobody wanna cost bothered with if i hit 'em in every direction with four fifths will expend like 45's with compact discs (c'mon) it's a disappointment to visit niggas flip on rule like they double joint when i'm one of rap's anointed who else used to order it all on the dick like when i do through with spinners on the six and got bitches bouncin like ronnie in tricks but some whores in this game really don't stimulate sense bomb roof and via cal's and clonin ems but when bullets travel through your film, we break your limbs a horror show, yeah picture this cause i guess you can't witness it, it's murder again [chorus] [verse 2] rule i bang with bitches in manolos and thick louie vuitton logos cause i don't fuck these hoes i'm above and beyond everything that your seein and i'm the only real nigga left rappin this freakin if i could be one of the seasons, you'd call me summer the way i bang the heater out the back of the hummer the bull just move like runners from city block to city block layin down the foundation for what's really hot y'all niggas really not on my level (c'mon) i'm like slugs when they pierce the metal, you witness sparks (what) my voice personify a brush, they hear it it's like art and nobody can really enjoin the twins apart i visit one nina, other one santa maria i might wind up on your set, dump and lean ya my bitch represent prance to bang men in virginia don't make me run up on ya, put a few in ya [chorus] [verse 3] yeah, yeah, yo, murder's outlaw, that guess i sustain a city's a broads so i push the porsche high and truck to court holla at the judge if the judge made a bad decision i feel like the nigga that triggerin guns with mittens it's hard to get done, i'm hearin that security runs around 30k, if they don't stimulate hit with an ak and found out that the security's runnin another way like with me, it's murder, probably if i could degenerate in to manslaughter sustain a bail and flee cause my downess says bitch up, let her manage the pick up snow cone the country allow no market untouched call me drugs if this is how they pushin us rafters but i don't suffice it cause i require it, i do it cause i want more definition is greed, i do it stimulate i want yours and y'all niggas personify teasin, y'all don't really want war but if you really do, your gonna ask a lot more [chorus] - 2x [outro - ja rule - talking] faggots, haha (panna banana what up) yeah, shout out to my nigga 01 (my nigga holla, i meet you baby) baby, you know what i mean? my nigga black child (joe, what up nigga) big caddillac, my motherfuckin partner my brother what up gotti, you know how we gonna suffice these niggas you ain't begin to pick up no mic either my nigga i got this, i got these niggas gotti holla back nigga (*laughing*) yeah, uh, yo my nigga burns in the building blow somethin up nigga (*fades out*)",Rap
"[cave children] [music lyrics: trollhorn] mellan svarta skuggor finns ett ställe utan sol. var fåglarna aldrig har sjungit. under jorden lever ett förbannat folk. för länge sen fördrivet. ""nu är det dags att glänta på dörren som har varit stängt. som vargar ska vi äta ut i människans land."" yxor i händerna, röttna tänder inn i munnen. skocken samlas åt skogsbrynet till. korparna skriker ur skogens mörka djup. ""grottans barn har kommit ut."" efter tusen månen skrider gruppen framåt mat. ingen kan nu hejda den här hungern. bort ännu, men närmare än igår. hör hur de sjunger... grottans barn! hungriga vargar! brottans barn! korparna skriker ur skogens mörka djup. ""grottans barn har äntligen kommit ut.""",Metal
"super cassanovahe's on the road againeye'n th esheep honeywon't you personify my friend?sign up ahead ..it readstop and start again(chorus)here she comesi see her comin'right onengines hummingeatin' dustand double clutchincement peelin' and im feelin'road hoggin itfoots itchin and im missin'gotta run againwith a head of gold, im told..rubber leggin it(repeat chorus) x2",Rock
