genre,lyrics,avg_stanza_len,avg_line_len
Electronic,"La la la la la lee la la la
Fine night tonight
La la la
It's a fine day
People open windows
They leave their houses
Just for a short while

It's going to be a fine night tonight
It's going to be a fine day tomorrow

They walk by the grass
They look at the sky
They walk by the grass
And they look at the glass
They look at the sky",4.666666666666667,5.214285714285714
Electronic,"Mary Lou, Mary LouI can't go on living without youMary Lou, Mary LouI can't go on singing without youMary Lou, Mary Lou...And you sleep all day and you drink all nightHow can you ever have the time to be my lovermanYou play your games, play your games everydayYou never do the things that you say you'll doYou always make excuses like Mr. JonesYou hide away, hide away everydayMary Lou, Mary Lou...And you drink whiskey like it's orange juiceAnd always swear at the cowboy near Johnson's farmYou fool around, fool around everydayIf you wanna be my man you gotta quit your boozeShave your butt take a bath and stay home with meClose to me, close to me everydayI climb on the stageand the band begins to play them old countrysongsEverybody scream and shout while I show myballsMary Lou, Mary Lou...I work so hard from 9 to 5Singing out of tuneThe rumours say you're desprateYou are banging with the boysMary Lou, Mary Lou...Mary Lou, Mary LouI'ld love to hold you in my arms again",1.0,172.0
Rap,"OI oi oi poloi, bags of noise, wake up, shake it up like milk shakes, make money, feelin great, a pusher dosnt cuss if I'm in discuss, let me discuss, so I fling you around like discuss, I rerport now fade away, now don't stop my thing now duplicate.
[Chorus:]
I got that bang bang sound, so come and crank it loud, I got that bang bang sound, so come and crank it loud.
My brain is scrambled eggs, sanglr def, some of my fans would be obsessed, naaw wouldn't catch me in a dress, hands off of my breasts, my ponytail is dead, but I wear a hat instead, sideways it's my way, now let this be convibrate, now ssh and sshoo like a dude or a girl, now who are you to try and ruin my world, now shut your mouth causeim talkin now, and if you don't like weeell.

[Chorus:]
I got that bang bang sound, so come and crank it loud, I got that bang bang sound, so come and crank it loud.

So everybody hum(humm)evrybody hum(humm)ya everybody hum(humm)sov.

[Chorus:]
I got that bang bang sound (humm)so come and crank it loud(humm)I got that bang bang sound(humm)so come and crank it loud(humm)!",2.25,22.88888888888889
Punk,"You won't think twice when you realize
See what I've seen through sobered eyes
A second chance won't get you nothing
Not this time
I cross my heart and I hope to die
I play the part but I don't know why
A second chance won't make you something
Not this time
Here tonight
So take what's yours I've got what's mine

Calling out
Looking for a piece of something
Falling out I don't know why
We're gonna lookout
And if we look alive
We're gonna be alright

We're worlds apart and you scandalize
You break the mold and you draw the line
A second chance won't get you nothing
Not this time
You're missing out as I pass you by
We break apart and I don't know why
A second chance won't make you something
Not this time
Here tonight
So here's to you and it's alright

Calling out
Looking for a piece of something
Falling out I don't know why
We're gonna lookout
And if we look alive
We're gonna be alright",8.0,5.4375
Pop,"You're comin' tonight
To my home town
I've been to yours many times before
And it's always been a thrill
You'll stay in a hotel
Or at friends near by
We haven't spent the night together in this town
Since nineteen seventy nine
Not such a long time

I can steal a melody
Of this I am allowed
'Cause you would never sue me baby
It wouldn't look good, it'd be weird

Have a drink after the show
I might really want to know
But everything you say I oppose
I blame it on my hole
It's just my role

I can steal a melody
Of this I am allowed
'Cause you would never sue me baby
It wouldn't look good, it'd be weird

I spend my time trying to forget you
With booze and smoke from cigarettes and dope
I only seem to forget myself
It's only you that is left

I can steal a melody
Of this I am allowed
'Cause you would never sue me baby
I can steal a melody
This I am allowed
You would never sue me baby
It wouldn't look good, it'd be weird
It'd be weird, it'd be weird

You're comin' tonight
To my home town",5.142857142857143,5.666666666666667
Rock,"I took a long hard look
and turned my head
I took a long hard listen
to everything said
Every question has to answers
one for me
and one for you
These are the sadistic years
So pour me another
These are the sadistic years
and the beat still goes on
Don't give me that
strange look
Enter my head if you want to see something
Look straight ahead
Every question has to answers
one for me
and one for you
These are the sadistic years
So pour me another
These are the sadistic years
So pour me another
but the beat still goes on
but the beat still goes on
and on and on and on
These are the sadistic years
These are the sadistic years
So pour me another and
another and another and another
To wash the grays of days away
and another
To wash the grays of days away",32.0,4.78125
Electronic,"I pushed the button and elected him to office
He pushed the button and he dropped the bomb
You pushed the button and could watch in on the television
Those motherfuckers didn't last too long
I'm sick of hearing about the have and have not's
Have some personal accountability
The biggest problem with the way that we are doing things is
The more we let you have the less that I'll be keeping for me

Well I use to stand for something
Now I'm on my hands and knees
Turning in the god of this war
And he signs his name with a capital G

Don't give a shit about the temperature in Guatemala
Don't really see what all the fuss is about
Ain't gonna worry about no future generations
And I'm sure somebody's gonna figure it out

Don't try to tell me that some power can corrupt a person
You hadn't had enough to know what its like
Your only angry cause you wish you were in my position
Now nod your head cause you know that I'm right..alright!

Well I use to stand for something
But forgot what that could be
Theres a lot of me inside you
Maybe your afraid to see

Well I use to stand for something
Well I'm on my hands and knees
Turning in the god of this war
And he signs his name with a capital G",4.666666666666667,8.392857142857142
Country,"An old man was sitting at his table one day
Writing a letter to pass time away
His little granddaughter climbed up on his knee
Saying won't you please write a letter for me
Oh what must I say in this letter I pray
Tell mommy I miss her since she went away
I coming to see her real soon I hope
He choked back a big lump that rose in his throat

He sealed it and wrote on that big envelope
To God up in heaven you'll get it I hope
He stamped it and handed it to her to mail
Her big eyes were shining her little face pale

She was crossing the street to the box o'er the way
And when she stepped out never looked either way
A big auto hit her and sped away fast
The little girls prayers had been answered at last

The postman was passing and picked up the note
Addressed to the Master and these words he spoke
Straight up into heaven this letter did go
She's happy up there with her mommy I know",5.0,9.2
Rap,"Momma never said it would be like this
I never knew such bliss existed
Or maybe it's just so indescribable
Love was liable to get her twisted
She never told me but if she tried I was a little too young it floated right by me
I never dreamed love so fulfilling it's simply killing and over spilling on me
It goes on and on ... 

This ain't no ordinary love
Gonna tell everyone up under the sun

I refuse to believe we're a dying breed
Children of peace hope and harmony
Ordinary folks extraordinary love
Something from above
Something we fall short of
You can't see with an untrained eye 
But if you take a little time you are sure to find it
We complicate something so basic 
But once you taste it you gonna chase it like me
It goes on and on ...

A - yo here we go, open up the gates and let it flow ... 
Love's gonna take us higher

This ain't no ordinary love
It's extraordinary love",4.6,7.565217391304348
Rock,"When he was just a little boy,
He only had one favourite toy.
And he had thing on his mind,
And never left anything behind.
No.
As he got older, things got worse,
Like he'd been born under a curse.
Things started to fall apart,
They weren't like they were at the start.
No, it's like a civil war.

Growing up,
It's like a civil war.
Don't turn away,
It's something you can't ignore.
Growing up,
It's like a civil war.

And now that he was in his teens,
He'd started to learn what life means.
Problems were still appearing,
They didn't look like disappearing.
No",7.0,5.0476190476190474
