title,artist,lyrics,genre
scream,adelitas way,light gasoline ive got rememdy burn memories know never afraid live lies pain never going know want take far come shy want make go make scream live life choice see eyes crazy scream feels inside let hear voice make loud time opens mind tell see im enemy thats want know scream name take blame never going know care want take far come shy want make go scream maybe denial kills see face cant see were breaking silence scream let go take away maybe denial make scream see face scream were breaking silence make scream let go take away ,rock
i didnt mean to,casual, alright might little glare stared ya ho know like stared right back niggas warnin comin react like mack act cool test cause aint jester suggest friend outtie cause want make pals get rowdy doubt friendship lips touch go crazy clutch sorta like schitzo forgets bros pals gals mean fiend strange things denim matter whos em grab flooze im traffic laugh might girl im talkin mean aint fault girl got caught aint fault girl got caught another incident went way beyond done john stopped drawers dropped aint quittin really care whos girl hittin admit skinz aint reason lose friends know sorry accept apologies live goin hold grudges well oh fudge new year fear ya actions ya actin shy mean ya need smackin hoe instead tryin front ya know thats exactly im goin ya know run game g ya know cause entertainin meant blame women makin ak seem call screen mean fools schememin dreamin actin like demons niggas give fuck beat shit many girls front cute want loot tell lies swell guys peep thats weak shit thats run game every freak get born oakland grew pumpin short know rules flooze whos short ho smoked blunts yo tried get looked front door shes forget every ill hit happened girl mean relationship hate dumb dips really cant trip ride tip mean ,rap
amor de cabaret,sonora santanera,siento pena honda dentro alma quiero ahogarla vino caricias amor vida remedio perdido medio maldito amargura dolor amor cabaret sincero amor cabaret paga dinero amor cabaret mata embargo quiero amor cabaret amor cabaret sincero amor cabaret paga dinero amor cabaret mata embargo quiero amor cabaret ,latin
its about time,jamie cullum,walking waters edge gind love sometime im walking door may come may go noone seems person ive searching one whose meant biding time trying find heart thats lonely looking her love one maybe ill dream tonight girl wholl coming way ill take chance celebrate day im making way open door ive got love much im ready make someone mine making way open door ive got love much ill find her cos time try hard feels like running thin air luck happen suprise really care past gone flames fires burned new ideals different thoughts lessons learned biding time trying find heart thats lonely looking her love one maybe ill dream tonight girl wholl coming way ill take chance celebrate day im making way open door ive got love much im ready make someone mine making way open door ive got love much ill find her cos time got feeling could take pretty long find smile put faith another piece good advice well tried twice waiting for little something inspire take higher im ready make someone mine making way open door ive got love much ill find her cos time time ,jazz
something girls,adam ant,every girl something girl ,rock
face the ashes,gob,ive erased while ive got world sale walk away it better done secret never mouthed words away cause concern die crossfire runaway none exists someone killing turn away lay limb red clear settle wave im way dreaming red memories worst feel abrasive worn tired think could win take place adore seal im one swear im not matter felt die crossfire runaway face ash someone killing ,punk
into the nightlife,cyndi lauper,got endless itch ride night fortune cookie says im right kung foo like shake body mister gonna make ya body blister say hey hey hey wanna ta make ya wanna ta shake ya down hey hey hey ill take ya till ya spun pitter patter matter got ill take ya till ya spun love night life ill take ya till ya spun love night life want dress tonight light shot like satellite night shake ya money maker never ba faker now hey hey hey leave em standing waitin till theyre practically faintin now hey hey hey ill take ya till ya spun up shirtless wonders wreck sight light ,pop
welcome to the pleasuredome,frankie goes to hollywood,ill protect hooded claw keep vampires door feels like fire im love dreams like angels keep bad baybad bay love light scaring darkness awayyeah im love purge soul make love goal power love force cleaning soul flame burn desire love tongues fire purge soul make love goal ill protect hooded claw keep vampires door chips ill around undying deathdefying love envy hurt let beautiful sparkling love flowers pearls pretty girls love like energy rushin rushin inside power love force cleaning soul flame burn desire love tongues fire purge soul make love goal time go sublime lovers entwinedivine divine love danger love pleasure love purethe treasure im love burns soul make love goal power love force cleaning soul power love force skyscraping dove flame burn desire love tongues fire purge soul make love goal ill protect hooded claw keep vampires door ,pop
stranger in paradise,tony bennett,take hand im stranger paradise lost wonderland stranger paradise stand starryeyed thats danger paradise mortals stand beside angel like saw face ascended commonplace rare somewhere space hang suspended know theres chance care answer fervent prayer stranger paradise send dark despair hunger open angels arms stranger paradise tell need stranger ,jazz
break my stride,matthew wilder,last night strangest dream sailed away china little rowboat find said get laundry cleaned want one hold mean said aint nothing gonna break stride nobody gonna slow oh got keep moving aint nothing gonna breaka stride im running touch ground oh got keep moving roll pray itll last road beyond rocky feeling cocky look see past reason running fast said aint nothing gonna breaka stride nobody gonna slow oh got keep moving aint nothing gonna break stride im running touch ground oh got keep moving work drag tell say oh aint nothing gonna breaka stride nobody gonna slow oh no oh got keep moving aint nothing gonna break stride im running touch ground oh got keep moving aint nothing gonna breaka stride nobody gonna slow oh no oh got keep moving aint nothing gonna breaka stride im running touch ground oh got keep moving aint nothing gonna break stride nobody gonna slow oh got keep moving aint nothing gonna breaka stride im running touch ground oh got keep moving ,pop
auburn and ivory,beach house,saw white light stood still warming eyes sea hardly way free auburn ivory heart break pony tails holding bones fire writing letter sails white page turns golder lights wanting one sacrifice auburn ivory heart break pony tails come ill tell whats wrong said ill wait you ill wait for saw white light stood still white page turns golder lights hardly one sacrifice auburn ivory heart break pony tails ,rock
floating,blue rodeo,well late night conversations leave strange taste like french cigarettes coloured drinks keep throwin keep reminding came forget every night insist reminding lost possibilities stains wall well mean complain hurts same us know leaves fall own throw line thats ask well sink swim im goin fast need love feel like william holden floating pool yea tell life living best giving hard free still best refuse gift share collection tears throw line thats ask well sink swim im going fast need love feel like william holden floating pool ,rock
more ,junkie xl,roll more rock roll more rock roll rock rock rock rock roll more rock roll more rock roll more rock roll more rock roll rock rock rock rock rock rock rock rock rock rock rock rock rock rock rock rock rock rock rock rock rock rock rock rock pacman loving rock more roll fuck more pacman loving rock more roll fuck more pacman loving cloudy vision absence granter care wrong right earth bleeding secreeding madness petrified gone dry inside wheels keep turning clock pounding theres want things still feel sounding maze place things still matter rock more roll fuck more pacman loving rock more roll fuck more pacman loving lost feeling sense numbness spinning like top sight climb window hell know even seem put fight created me place called reality broken mirrors broken promises made easily want rock more roll fuck more pacman loving rock more roll fuck more pacman loving rock more rock rock more rock rock more rock rock more rock rock get knees fuck pacman loving rock more roll fuck more pacman loving rock more roll fuck more pacman loving rock more roll fuck more pacman loving rock more roll fuck more pacman loving rock more roll fuck more pacman loving rock more roll fuck more pacman loving rock more roll fuck more pacman loving rock more roll fuck more pacman loving pacman loving pacman loving pacman loving ,electronic
caught in a dream,tesla,now imagine this whole world sharing one big kiss thoughts brain daydream everyday im alive well right now im alive im feelingwell life live way ill keep daydreaming away knows maybe someday come true get way live one im caught dream im gonna wish ones gonna tell how way dream im caught seems simply impossible aint gonna change thing way dream cannot done every living thing sun forget color forget race one big happy face among sea people live among gods creatures sharing love sent above share one another father brother sister mother everybody sharing love sharing love im caught dream im gonna wish ones gonna tell how way dream im caught seems simply impossible aint gonna change thing way dream dream ifi close eyes everything alright fantasy living harmony make dream come alive im caught dream im gonna wish ones gonna tell how way dream im caught seems simply impossible aint gonna change thing way dream im caught dream im gonna wish ones gonna tell how way dream im caught seems simply impossible aint gonna change thing way dream now imagine this whole world sharing one big kiss take away pain hurt make like heaven earth without reason die given everlasting life ,rock
not for you,pearl jam,restless soul enjoy youth like muhammad hits truth cant escape common rule hate something tootoo small table sits two got crowded cant make room oh come from stormed room dare say belongs youto you oh youah you screammy friendsdont call me friends scream my friends callmy friends dont thats sacred comes youth dedication naive true power nothing still remember youdont you oh never youfuck you you oh youyeah you you oh you oh you ,rock
